,0
0,0.2926261344846477
1,0.300667987279493
2,0.44369743426617597
3,0.17529343606998798
4,0.17529343606998798
5,0.17529343606998798
6,0.17529343606998798
7,-0.026930557875394754
8,-0.026930557875394754
9,-0.03497241067024009
10,0.269745462748829
11,0.269745462748829
12,0.41329467890265825
13,0.41329467890265825
14,0.41329467890265825
15,0.42133653169750357
16,0.42133653169750357
17,0.41329467890265825
18,0.16301687565930953
19,0.16301687565930953
20,0.11816647203089124
21,0.11012461923604591
22,0.11012461923604591
23,0.16310746481753152
24,0.17114931761237687
25,0.47461995879684005
26,0.46657810600199473
27,0.2021134117981144
28,0.2021134117981144
29,0.2021134117981144
30,0.2021134117981144
31,0.2021134117981144
32,0.2021134117981144
33,0.416919028193123
34,0.40887717539827767
35,0.416919028193123
36,0.416919028193123
37,0.416919028193123
38,0.416919028193123
39,0.416919028193123
40,0.416919028193123
41,0.18110763443045577
42,0.18110763443045577
43,0.18110763443045577
44,0.17306578163561043
45,0.18110763443045577
46,0.18110763443045577
47,0.18110763443045577
48,0.18110763443045577
49,0.17306578163561043
50,0.18110763443045577
51,0.18110763443045577
52,0.18110763443045577
53,0.18110763443045577
54,0.17306578163561043
55,0.18110763443045577
56,0.12876848044140465
57,0.12876848044140465
58,0.4655115667413094
59,-0.12771278779115097
60,-0.11967093499630564
61,-0.12771278779115097
62,-0.11967093499630564
63,-0.11967093499630564
64,-0.11967093499630564
65,-0.11967093499630564
66,-0.11967093499630564
67,-0.11967093499630564
68,-0.11967093499630564
69,0.18412844307874915
70,-0.03399856348240368
71,-0.03399856348240368
72,-0.04204041627724902
73,-0.04204041627724902
74,0.18059444027524468
75,0.18059444027524468
76,0.18059444027524468
77,0.18059444027524468
78,0.18059444027524468
79,0.18059444027524468
80,0.18059444027524468
81,0.17255258748039934
82,0.18059444027524468
83,0.18059444027524468
84,0.18059444027524468
85,0.18059444027524468
86,0.17255258748039934
87,0.18059444027524468
88,0.17255258748039934
89,0.18059444027524468
90,0.18059444027524468
91,0.18059444027524468
92,0.18059444027524468
93,0.18059444027524468
94,0.18059444027524468
95,0.17255258748039934
96,0.18059444027524468
97,0.18059444027524468
98,0.17255258748039934
99,0.17255258748039934
100,0.18059444027524468
101,0.17255258748039934
102,0.17255258748039934
103,0.18059444027524468
104,0.17255258748039934
105,0.18059444027524468
106,0.17255258748039934
107,0.18059444027524468
108,0.18059444027524468
109,0.18059444027524468
110,0.18059444027524468
111,0.18059444027524468
112,0.18059444027524468
113,0.18059444027524468
114,0.18059444027524468
115,0.18059444027524468
116,0.17255258748039934
